Index,Name,Unprescaled
0,L1_AlwaysTrue,1
1,L1_ZeroBias,1
2,L1_ZeroBias_copy,1
3,L1_BPTX_AND_Ref1_VME,1
4,L1_BPTX_AND_Ref3_VME,1
5,L1_BPTX_AND_Ref4_VME,1
6,L1_BPTX_BeamGas_B1_VME,1
7,L1_BPTX_BeamGas_B2_VME,1
8,L1_BPTX_BeamGas_Ref1_VME,1
9,L1_BPTX_BeamGas_Ref2_VME,1
10,L1_BPTX_NotOR_VME,1
11,L1_BPTX_OR_Ref3_VME,1
12,L1_BPTX_OR_Ref4_VME,1
13,L1_BPTX_RefAND_VME,1
14,L1_BptxMinus,1
15,L1_BptxMinus_NotBptxPlus,1
16,L1_BptxOR,1
17,L1_BptxPlus,1
18,L1_BptxPlus_NotBptxMinus,1
19,L1_BptxXOR,1
20,L1_NotBptxOR,1
21,L1_FirstBunchAfterTrain,1
22,L1_FirstBunchBeforeTrain,1
23,L1_FirstBunchInTrain,1
24,L1_SecondBunchInTrain,1
25,L1_SecondLastBunchInTrain,1
26,L1_FirstBunchInTrain_50ns,1
27,L1_FirstCollisionInOrbit,1
28,L1_FirstCollisionInOrbit_Centrality30_100_BptxAND,1
29,L1_FirstCollisionInOrbit_Centrality50_100_BptxAND,1
30,L1_FirstCollisionInTrain,1
31,L1_IsolatedBunch,1
32,L1_LastBunchInTrain,1
33,L1_LastBunchInTrain_50ns,1
34,L1_LastCollisionInTrain,1
35,L1_UnpairedBunchBptxMinus,1
36,L1_UnpairedBunchBptxPlus,1
37,L1_HCAL_LaserMon_Trig,1
38,L1_HCAL_LaserMon_Veto,1
39,L1_HTT120er,1
40,L1_HTT160er,1
41,L1_HTT200er,1
42,L1_HTT255er,1
43,L1_HTT280er,1
44,L1_HTT320er,1
45,L1_HTT360er,1
46,L1_HTT400er,1
47,L1_HTT450er,1
48,L1_ETM120,1
49,L1_ETM150,1
50,L1_ETMHF70,1
51,L1_ETMHF80,1
52,L1_ETMHF90,1
53,L1_ETMHF100,1
54,L1_ETMHF110,1
55,L1_ETMHF120,1
56,L1_ETMHF150,1
57,L1_ETT2000,1
58,L1_ZDCM8,1
59,L1_ZDCM10,1
60,L1_ZDCM12,1
61,L1_ZDCM30,1
62,L1_ZDCM40,1
63,L1_ZDCM50,1
64,L1_ZDCM60,1
65,L1_ZDCM70,1
66,L1_ZDCP8,1
67,L1_ZDCP10,1
68,L1_ZDCP12,1
69,L1_ZDCP30,1
70,L1_ZDCP40,1
71,L1_ZDCP50,1
72,L1_ZDCP60,1
73,L1_ZDCP70,1
74,L1_ZDC30_AND,1
75,L1_ZDC40_AND,1
76,L1_ZDC50_AND,1
77,L1_ZDC60_AND,1
78,L1_ZDC70_AND,1
79,L1_ZDC30_OR,1
80,L1_ZDC40_OR,1
81,L1_ZDC50_OR,1
82,L1_ZDC60_OR,1
83,L1_ZDC70_OR,1
84,L1_Centrality_30_100_MinimumBiasHF1_AND_BptxAND,1
85,L1_Centrality_50_100_MinimumBiasHF1_AND_BptxAND,1
86,L1_MinimumBiasHF1plus_BptxAND,1
87,L1_MinimumBiasHF1minus_BptxAND,1
88,L1_MinimumBiasHF2plus_BptxAND,1
89,L1_MinimumBiasHF2minus_BptxAND,1
90,L1_MinimumBiasHF1plus,1
91,L1_MinimumBiasHF1minus,1
92,L1_MinimumBiasHF2plus,1
93,L1_MinimumBiasHF2minus,1
94,L1_MinimumBiasHF1_AND_BptxAND,1
95,L1_MinimumBiasHF2_AND_BptxAND,1
96,L1_MinimumBiasHF1_OR_BptxAND,1
97,L1_MinimumBiasHF2_OR_BptxAND,1
98,L1_NotMinimumBiasHF2_AND_BptxAND,1
99,L1_MinimumBiasZDC1n_Th1_OR_MinimumBiasHF1_AND_BptxAND,1
100,L1_MinimumBiasZDC1n_Th2_OR_MinimumBiasHF1_AND_BptxAND,1
101,L1_MinimumBiasZDC1n_Th3_OR_MinimumBiasHF1_AND_BptxAND,1
102,L1_MinimumBiasZDC1n_Th4_OR_MinimumBiasHF1_AND_BptxAND,1
103,L1_MinimumBiasZDC2n_Th1_OR_MinimumBiasHF1_AND_BptxAND,1
104,L1_MinimumBiasZDC2n_Th2_OR_MinimumBiasHF1_AND_BptxAND,1
105,L1_MinimumBiasZDC2n_Th3_OR_MinimumBiasHF1_AND_BptxAND,1
106,L1_MinimumBiasZDC2n_Th4_OR_MinimumBiasHF1_AND_BptxAND,1
107,L1_MinimumBiasZDC3n_Th1_OR_MinimumBiasHF1_AND_BptxAND,1
108,L1_MinimumBiasZDC3n_Th2_OR_MinimumBiasHF1_AND_BptxAND,1
109,L1_MinimumBiasZDC3n_Th3_OR_MinimumBiasHF1_AND_BptxAND,1
110,L1_MinimumBiasZDC3n_Th4_OR_MinimumBiasHF1_AND_BptxAND,1
111,L1_MinimumBiasZDC1n_Th1_OR_MinimumBiasHF2_AND_BptxAND,1
112,L1_MinimumBiasZDC1n_Th1_AND_MinimumBiasHF1_AND_BptxAND,1
113,L1_MinimumBiasZDC1n_Th2_AND_MinimumBiasHF1_AND_BptxAND,1
114,L1_MinimumBiasZDC1n_Th3_AND_MinimumBiasHF1_AND_BptxAND,1
115,L1_MinimumBiasZDC1n_Th4_AND_MinimumBiasHF1_AND_BptxAND,1
116,L1_MinimumBiasZDC1n_Th1_AND_MinimumBiasHF2_AND_BptxAND,1
117,L1_SingleJet8_NotMinimumBiasHF2_AND_BptxAND,1
118,L1_SingleJet12_NotMinimumBiasHF2_AND_BptxAND,1
119,L1_SingleJet16_NotMinimumBiasHF2_AND_BptxAND,1
120,L1_SingleJet20_NotMinimumBiasHF2_AND_BptxAND,1
121,L1_SingleJet24_NotMinimumBiasHF2_AND_BptxAND,1
122,L1_SingleJet28_NotMinimumBiasHF2_AND_BptxAND,1
123,L1_DoubleJet8_DeltaPhi2p0_NotMinimumBiasHF2_BptxAND,1
124,L1_DoubleJet12_DeltaPhi2p0_NotMinimumBiasHF2_BptxAND,1
125,L1_DoubleJet16_DeltaPhi2p0_NotMinimumBiasHF2_BptxAND,1
126,L1_SingleMuOpen_NotMinimumBiasHF2_AND_BptxAND,1
127,L1_SingleMuOpen_NotMinimumBiasHF2_OR_BptxAND,1
128,L1_SingleMuCosmic_NotMinimumBiasHF2_AND_BptxAND,1
129,L1_SingleMuCosmic_NotMinimumBiasHF2_OR_BptxAND,1
130,L1_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMinimumBiasHF2_AND_BptxAND,1
131,L1_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMinimumBiasHF2_OR_BptxAND,1
132,L1_DoubleMuCosmic_NotMinimumBiasHF2_AND_BptxAND,1
133,L1_DoubleMu0_NotMinimumBiasHF2_AND_BptxAND,1
134,L1_DoubleMuOpen_NotMinimumBiasHF2_AND_BptxAND,1
135,L1_SingleEG3_NotMinimumBiasHF2_OR_BptxAND,1
136,L1_SingleEG4_NotMinimumBiasHF2_OR_BptxAND,1
137,L1_SingleEG2_NotMinimumBiasHF2_AND_BptxAND,1
138,L1_SingleEG3_NotMinimumBiasHF2_AND_BptxAND,1
139,L1_SingleEG4_NotMinimumBiasHF2_AND_BptxAND,1
140,L1_SingleEG5_NotMinimumBiasHF2_AND_BptxAND,1
141,L1_SingleEG5er1p5_NotMinimumBiasHF2_AND_BptxAND,1
142,L1_SingleEG5er2p1_NotMinimumBiasHF2_AND_BptxAND,1
143,L1_SingleEG6er2p5_NotMinimumBiasHF2_AND_BptxAND,1
144,L1_SingleEG7er2p5_NotMinimumBiasHF2_AND_BptxAND,1
145,L1_SingleEG8er2p5_NotMinimumBiasHF2_AND_BptxAND,1
146,L1_DoubleEG2er1p5_DeltaPhi2p0_NotMinimumBiasHF2_AND_BptxAND,1
147,L1_DoubleEG2er2p1_DeltaPhi2p0_NotMinimumBiasHF2_AND_BptxAND,1
148,L1_DoubleEG2er1p5_NotMinimumBiasHF2_AND_BptxAND,1
149,L1_DoubleEG2er2p1_NotMinimumBiasHF2_AND_BptxAND,1
150,L1_DoubleEG2_NotMinimumBiasHF2_AND_BptxAND,1
151,L1_DoubleEG3_NotMinimumBiasHF2_AND_BptxAND,1
152,L1_DoubleEG4_NotMinimumBiasHF2_AND_BptxAND,1
153,L1_DoubleEG5_NotMinimumBiasHF2_AND_BptxAND,1
154,L1_SingleJet8_UPCZDC1n_Th1_AsymXOR_NotPreBptx_BptxAND,1
155,L1_SingleJet12_UPCZDC1n_Th1_AsymXOR_NotPreBptx_BptxAND,1
156,L1_SingleJet16_UPCZDC1n_Th1_AsymXOR_NotPreBptx_BptxAND,1
157,L1_SingleJet20_UPCZDC1n_Th1_AsymXOR_NotPreBptx_BptxAND,1
158,L1_SingleJet24_UPCZDC1n_Th1_AsymXOR_NotPreBptx_BptxAND,1
159,L1_SingleJet28_UPCZDC1n_Th1_AsymXOR_NotPreBptx_BptxAND,1
160,L1_SingleJet8_UPCZDC1n_Th1_AsymXOR_BptxAND,1
161,L1_SingleJet8_UPCZDC1n_Th2_AsymXOR_BptxAND,1
162,L1_SingleJet8_UPCZDC1n_Th3_AsymXOR_BptxAND,1
163,L1_SingleJet12_UPCZDC1n_Th1_AsymXOR_BptxAND,1
164,L1_SingleJet12_UPCZDC1n_Th2_AsymXOR_BptxAND,1
165,L1_SingleJet12_UPCZDC1n_Th3_AsymXOR_BptxAND,1
166,L1_SingleJet16_UPCZDC1n_Th1_AsymXOR_BptxAND,1
167,L1_SingleJet16_UPCZDC1n_Th2_AsymXOR_BptxAND,1
168,L1_SingleJet16_UPCZDC1n_Th3_AsymXOR_BptxAND,1
169,L1_SingleJet20_UPCZDC1n_Th1_AsymXOR_BptxAND,1
170,L1_SingleJet20_UPCZDC1n_Th2_AsymXOR_BptxAND,1
171,L1_SingleJet20_UPCZDC1n_Th3_AsymXOR_BptxAND,1
172,L1_SingleJet24_UPCZDC1n_Th1_AsymXOR_BptxAND,1
173,L1_SingleJet24_UPCZDC1n_Th2_AsymXOR_BptxAND,1
174,L1_SingleJet24_UPCZDC1n_Th3_AsymXOR_BptxAND,1
175,L1_SingleJet28_UPCZDC1n_Th1_AsymXOR_BptxAND,1
176,L1_SingleJet28_UPCZDC1n_Th2_AsymXOR_BptxAND,1
177,L1_SingleJet28_UPCZDC1n_Th3_AsymXOR_BptxAND,1
178,L1_SingleJet8_NotUPCZDC1n_Th1_OR_BptxAND,1
179,L1_SingleJet8_NotUPCZDC1n_Th2_OR_BptxAND,1
180,L1_SingleJet8_NotUPCZDC1n_Th3_OR_BptxAND,1
181,L1_SingleJet12_NotUPCZDC1n_Th1_OR_BptxAND,1
182,L1_SingleJet12_NotUPCZDC1n_Th2_OR_BptxAND,1
183,L1_SingleJet12_NotUPCZDC1n_Th3_OR_BptxAND,1
184,L1_SingleJet16_NotUPCZDC1n_Th1_OR_BptxAND,1
185,L1_SingleJet16_NotUPCZDC1n_Th2_OR_BptxAND,1
186,L1_SingleJet16_NotUPCZDC1n_Th3_OR_BptxAND,1
187,L1_SingleJet20_NotUPCZDC1n_Th1_OR_BptxAND,1
188,L1_SingleJet20_NotUPCZDC1n_Th2_OR_BptxAND,1
189,L1_SingleJet20_NotUPCZDC1n_Th3_OR_BptxAND,1
190,L1_SingleJet24_NotUPCZDC1n_Th1_OR_BptxAND,1
191,L1_SingleJet24_NotUPCZDC1n_Th2_OR_BptxAND,1
192,L1_SingleJet24_NotUPCZDC1n_Th3_OR_BptxAND,1
193,L1_SingleJet28_NotUPCZDC1n_Th1_OR_BptxAND,1
194,L1_SingleJet28_NotUPCZDC1n_Th2_OR_BptxAND,1
195,L1_SingleJet28_NotUPCZDC1n_Th3_OR_BptxAND,1
196,L1_SingleJet8_UPCZDC1n_Th1_XOR_NotPreBptx_BptxAND,1
197,L1_SingleJet12_UPCZDC1n_Th1_XOR_NotPreBptx_BptxAND,1
198,L1_SingleJet16_UPCZDC1n_Th1_XOR_NotPreBptx_BptxAND,1
199,L1_SingleJet20_UPCZDC1n_Th1_XOR_NotPreBptx_BptxAND,1
200,L1_SingleJet24_UPCZDC1n_Th1_XOR_NotPreBptx_BptxAND,1
201,L1_SingleJet28_UPCZDC1n_Th1_XOR_NotPreBptx_BptxAND,1
202,L1_SingleJet8_UPCZDC1n_Th1_XOR_BptxAND,1
203,L1_SingleJet8_UPCZDC1n_Th2_XOR_BptxAND,1
204,L1_SingleJet8_UPCZDC1n_Th3_XOR_BptxAND,1
205,L1_SingleJet12_UPCZDC1n_Th1_XOR_BptxAND,1
206,L1_SingleJet12_UPCZDC1n_Th2_XOR_BptxAND,1
207,L1_SingleJet12_UPCZDC1n_Th3_XOR_BptxAND,1
208,L1_SingleJet16_UPCZDC1n_Th1_XOR_BptxAND,1
209,L1_SingleJet16_UPCZDC1n_Th2_XOR_BptxAND,1
210,L1_SingleJet16_UPCZDC1n_Th3_XOR_BptxAND,1
211,L1_SingleJet20_UPCZDC1n_Th1_XOR_BptxAND,1
212,L1_SingleJet20_UPCZDC1n_Th2_XOR_BptxAND,1
213,L1_SingleJet20_UPCZDC1n_Th3_XOR_BptxAND,1
214,L1_SingleJet24_UPCZDC1n_Th1_XOR_BptxAND,1
215,L1_SingleJet24_UPCZDC1n_Th2_XOR_BptxAND,1
216,L1_SingleJet24_UPCZDC1n_Th3_XOR_BptxAND,1
217,L1_SingleJet28_UPCZDC1n_Th1_XOR_BptxAND,1
218,L1_SingleJet28_UPCZDC1n_Th2_XOR_BptxAND,1
219,L1_SingleJet28_UPCZDC1n_Th3_XOR_BptxAND,1
220,L1_DoubleJet8_DeltaPhi2p0_NotUPCZDC1n_Th1_AND_BptxAND,1
221,L1_DoubleJet8_DeltaPhi2p0_NotUPCZDC1n_Th2_AND_BptxAND,1
222,L1_DoubleJet8_DeltaPhi2p0_NotUPCZDC1n_Th3_AND_BptxAND,1
223,L1_DoubleJet12_DeltaPhi2p0_NotUPCZDC1n_Th1_AND_BptxAND,1
224,L1_DoubleJet12_DeltaPhi2p0_NotUPCZDC1n_Th2_AND_BptxAND,1
225,L1_DoubleJet12_DeltaPhi2p0_NotUPCZDC1n_Th3_AND_BptxAND,1
226,L1_DoubleJet16_DeltaPhi2p0_NotUPCZDC1n_Th1_AND_BptxAND,1
227,L1_DoubleJet16_DeltaPhi2p0_NotUPCZDC1n_Th2_AND_BptxAND,1
228,L1_DoubleJet16_DeltaPhi2p0_NotUPCZDC1n_Th3_AND_BptxAND,1
229,L1_DoubleJet8_DeltaPhi2p0_NotUPCZDC1n_Th1_OR_BptxAND,1
230,L1_DoubleJet8_DeltaPhi2p0_NotUPCZDC1n_Th2_OR_BptxAND,1
231,L1_DoubleJet8_DeltaPhi2p0_NotUPCZDC1n_Th3_OR_BptxAND,1
232,L1_DoubleJet12_DeltaPhi2p0_NotUPCZDC1n_Th1_OR_BptxAND,1
233,L1_DoubleJet12_DeltaPhi2p0_NotUPCZDC1n_Th2_OR_BptxAND,1
234,L1_DoubleJet12_DeltaPhi2p0_NotUPCZDC1n_Th3_OR_BptxAND,1
235,L1_DoubleJet16_DeltaPhi2p0_NotUPCZDC1n_Th1_OR_BptxAND,1
236,L1_DoubleJet16_DeltaPhi2p0_NotUPCZDC1n_Th2_OR_BptxAND,1
237,L1_DoubleJet16_DeltaPhi2p0_NotUPCZDC1n_Th3_OR_BptxAND,1
238,L1_DoubleJet8_DeltaPhi2p0_UPCZDC1n_Th1_XOR_BptxAND,1
239,L1_DoubleJet12_DeltaPhi2p0_UPCZDC1n_Th1_XOR_BptxAND,1
240,L1_DoubleJet16_DeltaPhi2p0_UPCZDC1n_Th1_XOR_BptxAND,1
241,L1_DoubleJet8_DeltaPhi2p0_UPCZDC1n_Th2_XOR_BptxAND,1
242,L1_DoubleJet12_DeltaPhi2p0_UPCZDC1n_Th2_XOR_BptxAND,1
