Index,Name,Emergency,HighZeroBias,HighZeroBias_NoMuShowers,HalfZeroBias,OnlyPhysics,HighRandom,HighRandom_NoMuShowers
0,L1_AlwaysTrue,0,0,0,0,0,0,0
1,L1_ZeroBias,17881,1,1,1,1,1,1
2,L1_ZeroBias_copy,0,0,0,0,0,0,0
3,L1_BPTX_AND_Ref1_VME,0,0,0,0,0,0,0
4,L1_BPTX_AND_Ref3_VME,0,0,0,0,0,0,0
5,L1_BPTX_AND_Ref4_VME,0,0,0,0,0,0,0
6,L1_BPTX_BeamGas_B1_VME,0,0,0,0,0,0,0
7,L1_BPTX_BeamGas_B2_VME,0,0,0,0,0,0,0
8,L1_BPTX_BeamGas_Ref1_VME,0,0,0,0,0,0,0
9,L1_BPTX_BeamGas_Ref2_VME,0,0,0,0,0,0,0
10,L1_BPTX_NotOR_VME,0,0,0,0,0,0,0
11,L1_BPTX_OR_Ref3_VME,0,0,0,0,0,0,0
12,L1_BPTX_OR_Ref4_VME,0,0,0,0,0,0,0
13,L1_BPTX_RefAND_VME,0,0,0,0,0,0,0
14,L1_BptxMinus,0,0,0,0,0,0,0
15,L1_BptxPlus,0,0,0,0,0,0,0
16,L1_BptxOR,0,0,0,0,0,0,0
17,L1_BptxXOR,0,0,0,0,0,0,0
18,L1_NotBptxOR,0,772789,772789,772789,772789,772789,772789
19,L1_FirstBunchBeforeTrain,0,0,0,0,0,0,0
20,L1_FirstBunchInTrain,0,0,0,0,0,0,0
21,L1_SecondBunchInTrain,0,0,0,0,0,0,0
22,L1_SecondLastBunchInTrain,0,0,0,0,0,0,0
23,L1_LastBunchInTrain,0,0,0,0,0,0,0
24,L1_FirstBunchAfterTrain,0,0,0,0,0,0,0
25,L1_IsolatedBunch,0,0,0,0,0,0,0
26,L1_UnpairedBunchBptxPlus,0,9901,9901,9901,9901,9901,9901
27,L1_UnpairedBunchBptxMinus,0,9901,9901,9901,9901,9901,9901
28,L1_FirstCollisionInTrain,0,0,0,0,0,0,0
29,L1_LastCollisionInTrain,0,0,0,0,0,0,0
30,L1_FirstCollisionInOrbit,0,1123,1123,1123,1123,1123,1123
31,L1_HCAL_LaserMon_Trig,0,0,0,0,0,0,0
32,L1_HCAL_LaserMon_Veto,0,0,0,0,0,0,0
33,L1_HTT120er,0,0,0,0,0,0,0
34,L1_HTT160er,0,0,0,0,0,0,0
35,L1_HTT200er,0,0,0,0,0,0,0
36,L1_HTT255er,0,0,0,0,0,0,0
37,L1_HTT280er,0,0,0,0,0,0,0
38,L1_HTT320er,0,0,0,0,0,0,0
39,L1_HTT360er,0,0,0,0,0,0,0
40,L1_HTT400er,0,0,0,0,0,0,0
41,L1_HTT450er,0,0,0,0,0,0,0
42,L1_ETT2000,0,0,0,0,0,0,0
43,L1_MinimumBiasHF0_AND_BptxAND,0,0,0,0,0,0,0
44,L1_MinimumBiasHF0_OR_BptxAND,0,0,0,0,0,0,0
45,L1_FirstBunchInTrain_50ns,0,0,0,0,0,0,0
46,L1_LastBunchInTrain_50ns,0,0,0,0,0,0,0
47,L1_SingleJet8_BptxAND,0,0,0,0,0,0,0
48,L1_SingleJet16,0,0,0,0,0,0,0
49,L1_SingleJet20,0,0,0,0,0,0,0
50,L1_SingleJet24,0,1,1,1,1,1,1
51,L1_SingleJet28,0,0,0,0,0,0,0
52,L1_SingleJet32,0,0,0,0,0,0,0
53,L1_SingleJet35,0,1,1,1,1,1,1
54,L1_SingleJet40,0,0,0,0,0,0,0
55,L1_SingleJet44,0,1,1,1,1,1,1
56,L1_SingleJet48,0,0,0,0,0,0,0
57,L1_SingleJet50,0,0,0,0,0,0,0
58,L1_SingleJet56,0,0,0,0,0,0,0
59,L1_SingleJet60,0,1,1,1,1,1,1
60,L1_SingleJet80,0,0,0,0,0,0,0
61,L1_SingleJet90,0,1,1,1,1,1,1
62,L1_SingleJet120,0,0,0,0,0,0,0
63,L1_SingleJet140,0,0,0,0,0,0,0
64,L1_SingleJet150,0,0,0,0,0,0,0
65,L1_SingleJet160,0,0,0,0,0,0,0
66,L1_SingleJet170,0,0,0,0,0,0,0
67,L1_SingleJet180,0,0,0,0,0,0,0
68,L1_SingleJet200,0,0,0,0,0,0,0
69,L1_SingleJet140er2p5,0,0,0,0,0,0,0
70,L1_SingleJet160er2p5,0,0,0,0,0,0,0
71,L1_SingleJet8erHE,0,0,0,0,0,0,0
72,L1_SingleJet10erHE,0,0,0,0,0,0,0
73,L1_SingleJet12erHE,0,0,0,0,0,0,0
74,L1_SingleJet35_FWD2p5,0,1,1,1,1,1,1
75,L1_SingleJet60_FWD2p5,0,1,1,1,1,1,1
76,L1_SingleJet90_FWD2p5,0,1,1,1,1,1,1
77,L1_SingleJet120_FWD2p5,0,1,1,1,1,1,1
78,L1_DoubleJet40er2p5,0,0,0,0,0,0,0
79,L1_DoubleJet40er2p7,0,0,0,0,0,0,0
80,L1_DoubleJet50er2p7,0,0,0,0,0,0,0
81,L1_DoubleJet60er2p7,0,0,0,0,0,0,0
82,L1_DoubleJet80er2p7,0,0,0,0,0,0,0
83,L1_DoubleJet100er2p5,0,0,0,0,0,0,0
84,L1_DoubleJet100er2p7,0,0,0,0,0,0,0
85,L1_DoubleJet112er2p7,0,0,0,0,0,0,0
86,L1_DoubleJet120er2p5,0,0,0,0,0,0,0
87,L1_DoubleJet120er2p7,0,0,0,0,0,0,0
88,L1_DoubleJet150er2p7,0,0,0,0,0,0,0
89,L1_QuadJet60er2p5,0,0,0,0,0,0,0
90,L1_ZDCP8,0,0,0,0,0,0,0
91,L1_ZDCM8,0,0,0,0,0,0,0
92,L1_SingleIsoEG18,0,0,0,0,0,0,0
93,L1_SingleIsoEG20,0,0,0,0,0,0,0
94,L1_SingleIsoEG22,0,0,0,0,0,0,0
95,L1_SingleIsoEG24,0,0,0,0,0,0,0
96,L1_SingleIsoEG26,0,0,0,0,0,0,0
97,L1_SingleIsoEG28,0,0,0,0,0,0,0
98,L1_SingleIsoEG30,0,0,0,0,0,0,0
99,L1_SingleIsoEG32,0,0,0,0,0,0,0
100,L1_SingleIsoEG34,0,0,0,0,0,0,0
101,L1_SingleIsoEG35,0,0,0,0,0,0,0
102,L1_SingleIsoEG36,0,0,0,0,0,0,0
103,L1_SingleIsoEG37,0,0,0,0,0,0,0
104,L1_SingleIsoEG38,0,0,0,0,0,0,0
105,L1_SingleIsoEG40,0,0,0,0,0,0,0
106,L1_SingleIsoEG24er2p1,0,0,0,0,0,0,0
107,L1_SingleIsoEG26er2p1,0,0,0,0,0,0,0
108,L1_SingleIsoEG26er2p5,0,0,0,0,0,0,0
109,L1_SingleIsoEG28er2p1,0,0,0,0,0,0,0
110,L1_SingleIsoEG28er2p5,0,0,0,0,0,0,0
111,L1_SingleIsoEG30er2p1,0,0,0,0,0,0,0
112,L1_SingleIsoEG30er2p5,0,0,0,0,0,0,0
113,L1_SingleIsoEG32er2p1,0,0,0,0,0,0,0
114,L1_SingleIsoEG32er2p5,0,0,0,0,0,0,0
115,L1_SingleIsoEG34er2p5,0,0,0,0,0,0,0
116,L1_SingleEG2_BptxAND,0,0,0,0,0,0,0
117,L1_SingleEG5,0,0,0,0,0,0,0
118,L1_SingleEG10,0,1,1,1,1,1,1
119,L1_SingleEG15,0,1,1,1,1,1,1
120,L1_SingleEG18,0,0,0,0,0,0,0
121,L1_SingleEG21,0,1,1,1,1,1,1
122,L1_SingleEG24,0,0,0,0,0,0,0
123,L1_SingleEG26,0,0,0,0,0,0,0
124,L1_SingleEG28,0,0,0,0,0,0,0
125,L1_SingleEG30,0,1,1,1,1,1,1
126,L1_SingleEG32,0,0,0,0,0,0,0
127,L1_SingleEG34,0,0,0,0,0,0,0
128,L1_SingleEG36,0,0,0,0,0,0,0
129,L1_SingleEG38,0,0,0,0,0,0,0
130,L1_SingleEG40,0,0,0,0,0,0,0
131,L1_SingleEG42,0,0,0,0,0,0,0
132,L1_SingleEG45,0,0,0,0,0,0,0
133,L1_SingleEG50,0,0,0,0,0,0,0
134,L1_SingleEG60,0,0,0,0,0,0,0
135,L1_SingleEG8er2p5,0,0,0,0,0,0,0
136,L1_SingleEG10er2p5,0,0,0,0,0,0,0
137,L1_SingleEG15er2p5,0,0,0,0,0,0,0
138,L1_SingleEG26er2p5,0,0,0,0,0,0,0
139,L1_SingleEG34er2p5,0,0,0,0,0,0,0
140,L1_SingleEG36er2p5,0,0,0,0,0,0,0
141,L1_SingleEG38er2p5,0,0,0,0,0,0,0
142,L1_SingleEG40er2p5,0,0,0,0,0,0,0
143,L1_SingleEG42er2p5,0,0,0,0,0,0,0
144,L1_SingleEG45er2p5,0,0,0,0,0,0,0
145,L1_DoubleEG_10_5,0,0,0,0,0,0,0
146,L1_DoubleEG_10_10,0,0,0,0,0,0,0
147,L1_DoubleEG_15_5,0,0,0,0,0,0,0
148,L1_DoubleEG_15_10,0,1,1,1,1,1,1
149,L1_DoubleEG_18_17,0,0,0,0,0,0,0
150,L1_DoubleEG_20_18,0,0,0,0,0,0,0
151,L1_DoubleEG_22_10,0,0,0,0,0,0,0
152,L1_DoubleEG_22_12,0,0,0,0,0,0,0
153,L1_DoubleEG_22_15,0,0,0,0,0,0,0
154,L1_DoubleEG_23_10,0,0,0,0,0,0,0
155,L1_DoubleEG_24_17,0,0,0,0,0,0,0
