# ZDC LUT for HI running 2023, commissioning implementation
# Scaling factor of 1 used for double -> int conversion
#<header> V1 13 32 </header>

0 1 # Scaling Factor
1 0 # [index ibit=0], [index idet=0]
2 0 # [index ibit=1], [index idet=0]
3 0 # [index ibit=2], [index idet=0]
4 0 # [index ibit=3], [index idet=0]
5 0 # [index ibit=4], [index idet=0]
6 0 # [index ibit=5], [index idet=0]
7 0 # [index ibit=6], [index idet=0]
8 0 # [index ibit=7], [index idet=0]
9 0 # [index ibit=8], [index idet=0]
10 0 # [index ibit=9], [index idet=0]
11 0 # [index ibit=10], [index idet=0]
12 0 # [index ibit=11], [index idet=0]
13 0 # [index ibit=12], [index idet=0]
14 0 # [index ibit=13], [index idet=0]
15 0 # [index ibit=14], [index idet=0]
16 0 # [index ibit=15], [index idet=0]
17 0 # [index ibit=16], [index idet=0]
18 0 # [index ibit=17], [index idet=0]
19 0 # [index ibit=18], [index idet=0]
20 0 # [index ibit=19], [index idet=0]
21 0 # [index ibit=20], [index idet=0]
22 0 # [index ibit=21], [index idet=0]
23 0 # [index ibit=22], [index idet=0]
24 0 # [index ibit=23], [index idet=0]
25 0 # [index ibit=24], [index idet=0]
26 0 # [index ibit=25], [index idet=0]
27 0 # [index ibit=26], [index idet=0]
28 0 # [index ibit=27], [index idet=0]
29 0 # [index ibit=28], [index idet=0]
30 0 # [index ibit=29], [index idet=0]
31 0 # [index ibit=30], [index idet=0]
32 0 # [index ibit=31], [index idet=0]
33 0 # [index ibit=32], [index idet=0]
34 0 # [index ibit=33], [index idet=0]
35 0 # [index ibit=34], [index idet=0]
36 0 # [index ibit=35], [index idet=0]
37 0 # [index ibit=36], [index idet=0]
38 0 # [index ibit=37], [index idet=0]
39 0 # [index ibit=38], [index idet=0]
40 0 # [index ibit=39], [index idet=0]
41 0 # [index ibit=40], [index idet=0]
42 0 # [index ibit=41], [index idet=0]
43 0 # [index ibit=42], [index idet=0]
44 0 # [index ibit=43], [index idet=0]
45 0 # [index ibit=44], [index idet=0]
46 0 # [index ibit=45], [index idet=0]
47 0 # [index ibit=46], [index idet=0]
48 0 # [index ibit=47], [index idet=0]
49 0 # [index ibit=48], [index idet=0]
50 0 # [index ibit=49], [index idet=0]
51 0 # [index ibit=50], [index idet=0]
52 0 # [index ibit=51], [index idet=0]
53 0 # [index ibit=52], [index idet=0]
54 0 # [index ibit=53], [index idet=0]
55 0 # [index ibit=54], [index idet=0]
56 0 # [index ibit=55], [index idet=0]
57 0 # [index ibit=56], [index idet=0]
58 0 # [index ibit=57], [index idet=0]
59 0 # [index ibit=58], [index idet=0]
60 0 # [index ibit=59], [index idet=0]
61 0 # [index ibit=60], [index idet=0]
62 0 # [index ibit=61], [index idet=0]
63 0 # [index ibit=62], [index idet=0]
64 0 # [index ibit=63], [index idet=0]
65 0 # [index ibit=64], [index idet=0]
66 0 # [index ibit=65], [index idet=0]
67 0 # [index ibit=66], [index idet=0]
68 0 # [index ibit=67], [index idet=0]
69 0 # [index ibit=68], [index idet=0]
70 0 # [index ibit=69], [index idet=0]
71 0 # [index ibit=70], [index idet=0]
72 0 # [index ibit=71], [index idet=0]
73 0 # [index ibit=72], [index idet=0]
74 0 # [index ibit=73], [index idet=0]
75 0 # [index ibit=74], [index idet=0]
76 0 # [index ibit=75], [index idet=0]
77 0 # [index ibit=76], [index idet=0]
78 0 # [index ibit=77], [index idet=0]
79 0 # [index ibit=78], [index idet=0]
80 0 # [index ibit=79], [index idet=0]
81 0 # [index ibit=80], [index idet=0]
82 0 # [index ibit=81], [index idet=0]
83 0 # [index ibit=82], [index idet=0]
84 0 # [index ibit=83], [index idet=0]
85 0 # [index ibit=84], [index idet=0]
86 0 # [index ibit=85], [index idet=0]
87 1 # [index ibit=86], [index idet=0]
88 1 # [index ibit=87], [index idet=0]
89 1 # [index ibit=88], [index idet=0]
90 1 # [index ibit=89], [index idet=0]
91 1 # [index ibit=90], [index idet=0]
92 1 # [index ibit=91], [index idet=0]
93 1 # [index ibit=92], [index idet=0]
94 1 # [index ibit=93], [index idet=0]
95 1 # [index ibit=94], [index idet=0]
96 1 # [index ibit=95], [index idet=0]
97 1 # [index ibit=96], [index idet=0]
98 1 # [index ibit=97], [index idet=0]
99 1 # [index ibit=98], [index idet=0]
100 1 # [index ibit=99], [index idet=0]
101 1 # [index ibit=100], [index idet=0]
102 1 # [index ibit=101], [index idet=0]
103 1 # [index ibit=102], [index idet=0]
104 1 # [index ibit=103], [index idet=0]
105 2 # [index ibit=104], [index idet=0]
106 2 # [index ibit=105], [index idet=0]
107 2 # [index ibit=106], [index idet=0]
108 2 # [index ibit=107], [index idet=0]
109 2 # [index ibit=108], [index idet=0]
110 2 # [index ibit=109], [index idet=0]
111 2 # [index ibit=110], [index idet=0]
112 2 # [index ibit=111], [index idet=0]
113 2 # [index ibit=112], [index idet=0]
114 2 # [index ibit=113], [index idet=0]
115 2 # [index ibit=114], [index idet=0]
116 3 # [index ibit=115], [index idet=0]
117 3 # [index ibit=116], [index idet=0]
118 3 # [index ibit=117], [index idet=0]
119 3 # [index ibit=118], [index idet=0]
120 3 # [index ibit=119], [index idet=0]
121 3 # [index ibit=120], [index idet=0]
122 3 # [index ibit=121], [index idet=0]
123 3 # [index ibit=122], [index idet=0]
124 4 # [index ibit=123], [index idet=0]
125 4 # [index ibit=124], [index idet=0]
126 4 # [index ibit=125], [index idet=0]
127 4 # [index ibit=126], [index idet=0]
128 4 # [index ibit=127], [index idet=0]
129 4 # [index ibit=128], [index idet=0]
130 4 # [index ibit=129], [index idet=0]
131 4 # [index ibit=130], [index idet=0]
132 4 # [index ibit=131], [index idet=0]
133 5 # [index ibit=132], [index idet=0]
134 5 # [index ibit=133], [index idet=0]
135 5 # [index ibit=134], [index idet=0]
136 5 # [index ibit=135], [index idet=0]
137 5 # [index ibit=136], [index idet=0]
138 6 # [index ibit=137], [index idet=0]
139 6 # [index ibit=138], [index idet=0]
140 6 # [index ibit=139], [index idet=0]
141 6 # [index ibit=140], [index idet=0]
142 6 # [index ibit=141], [index idet=0]
143 6 # [index ibit=142], [index idet=0]
144 7 # [index ibit=143], [index idet=0]
145 7 # [index ibit=144], [index idet=0]
146 7 # [index ibit=145], [index idet=0]
147 8 # [index ibit=146], [index idet=0]
148 8 # [index ibit=147], [index idet=0]
149 8 # [index ibit=148], [index idet=0]
150 9 # [index ibit=149], [index idet=0]
151 9 # [index ibit=150], [index idet=0]
152 10 # [index ibit=151], [index idet=0]
153 10 # [index ibit=152], [index idet=0]
154 10 # [index ibit=153], [index idet=0]
155 11 # [index ibit=154], [index idet=0]
156 11 # [index ibit=155], [index idet=0]
157 11 # [index ibit=156], [index idet=0]
158 12 # [index ibit=157], [index idet=0]
159 12 # [index ibit=158], [index idet=0]
160 12 # [index ibit=159], [index idet=0]
161 13 # [index ibit=160], [index idet=0]
162 13 # [index ibit=161], [index idet=0]
163 14 # [index ibit=162], [index idet=0]
164 14 # [index ibit=163], [index idet=0]
165 14 # [index ibit=164], [index idet=0]
166 15 # [index ibit=165], [index idet=0]
167 16 # [index ibit=166], [index idet=0]
168 17 # [index ibit=167], [index idet=0]
169 17 # [index ibit=168], [index idet=0]
170 18 # [index ibit=169], [index idet=0]
171 19 # [index ibit=170], [index idet=0]
172 20 # [index ibit=171], [index idet=0]
173 20 # [index ibit=172], [index idet=0]
174 21 # [index ibit=173], [index idet=0]
175 22 # [index ibit=174], [index idet=0]
176 23 # [index ibit=175], [index idet=0]
